Name,Debut date,Youtube channel id,Youtube subscription button
Tsunomaki Watame,29-Dec-19,UCqm3BQLlJfvkTsX_hvm0UmA,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCqm3BQLlJfvkTsX_hvm0UmA"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Tokoyami Towa,3-Jan-20,UC1uv2Oq6kNxgATlCiez59hw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UC1uv2Oq6kNxgATlCiez59hw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Himemori Luna,4-Jan-20,UCa9Y57gfeY0Zro_noHRVrnw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCa9Y57gfeY0Zro_noHRVrnw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Yukihana Lamy,12-Aug-20,UCFKOVgVbGmX65RxO3EtH3iw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCFKOVgVbGmX65RxO3EtH3iw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Momosuzu Nene,13-Aug-20,UCAWSyEs_Io8MtpY3m-zqILA,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCAWSyEs_Io8MtpY3m-zqILA"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Shishiro Botan,14-Aug-20,UCUKD-uaobj9jiqB-VXt71mA,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCUKD-uaobj9jiqB-VXt71mA"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Omaru Polka,16-Aug-20,UCK9V2B22uJYu3N7eR_BT9QA,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCK9V2B22uJYu3N7eR_BT9QA"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Mori Calliope,12-Sep-20,UCL_qhgtOy0dy1Agp8vkySQg," <script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCL_qhgtOy0dy1Agp8vkySQg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Takanashi Kiara,12-Sep-20,UCHsx4Hqa-1ORjQTh9TYDhww,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCHsx4Hqa-1ORjQTh9TYDhww"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Ninomae Ina'nis,12-Sep-20,UCMwGHR0BTZuLsmjY_NT5Pwg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCMwGHR0BTZuLsmjY_NT5Pwg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Gawr Gura,12-Sep-20,UCoSrY_IQQVpmIRZ9Xf-y93g,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCoSrY_IQQVpmIRZ9Xf-y93g"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Watson Amelia,12-Sep-20,UCyl1z3jo3XHR1riLFKG5UAg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCyl1z3jo3XHR1riLFKG5UAg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Ookami Mio,7-Dec-18,UCp-5t9SrOQwXMU7iIjQfARg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCp-5t9SrOQwXMU7iIjQfARg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Nekomata Okayu,6-Apr-19,UCvaTdHTWBGv3MKj3KVqJVCw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCvaTdHTWBGv3MKj3KVqJVCw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Inugami Korone,13-Apr-19,UChAnqc_AY5_I3Px5dig3X1Q,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UChAnqc_AY5_I3Px5dig3X1Q"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Ayunda Risu,10-Apr-20,UCOyYb1c43VlX9rc_lT6NKQw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCOyYb1c43VlX9rc_lT6NKQw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Moona Hoshinova,11-Apr-20,UCP0BspO_AMEe3aQqqpo89Dg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCP0BspO_AMEe3aQqqpo89Dg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Airani Iofifteen,12-Apr-20,UCAoy6rzhSf4ydcYjJw3WoVg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCAoy6rzhSf4ydcYjJw3WoVg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Kureiji Ollie,4-Dec-20,UCYz_5n-uDuChHtLo7My1HnQ,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCYz_5n-uDuChHtLo7My1HnQ"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Anya Melfissa,5-Dec-20,UC727SQYUvx5pDDGQpTICNWg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UC727SQYUvx5pDDGQpTICNWg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Pavolia Reine,6-Dec-20,UChgTyjG-pdNvxxhdsXfHQ5Q,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UChgTyjG-pdNvxxhdsXfHQ5Q"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
